,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
798,rho CrB b,,,,1.23,1.0449,803.0,675.0,3.233,39.8458,,3.9,17.47,5627.0,4.12,False,nexsci
266,HD 141399 b,,,,1.28,0.451,588.0,494.0,2.8339999999999996,94.44,,5.5,37.02,5600.0,4.28,False,nexsci
558,HD 47186 b,,,,0.45,0.07,1508.0,1268.0,2.937,4.0845,,6.0,37.46,5657.0,4.36,False,nexsci
743,OGLE-2011-BLG-0251L b,,,,1.27,0.53,,,2.911,,,,2570.0,,,False,nexsci
1082,HD 80869 b,,,,1.15,4.86,203.0,171.0,3.9589999999999996,1711.7,,6.9,85.4,5837.0,4.18,False,nexsci
377,HD 171238 b,,,,1.18,2.72,196.0,164.0,3.685,1532.0,,6.8,44.81,5440.0,4.43,False,nexsci
109,BD+20 274 b,,,,1.16,4.2,899.0,756.0,3.889,578.2,,6.2,1322.51,4296.0,1.99,False,nexsci
93,51 Peg b,,,,1.27,0.46,1562.0,1314.0,2.8489999999999998,4.2308,,3.9,15.46,5758.0,4.31,False,nexsci
964,HD 189567 b,,,,0.25,0.026739999999999996,1005.0,845.0,3.012,14.288,,4.5,17.91,5726.0,4.41,False,nexsci
795,PSR B1620-26 b,,,,1.18,2.5,,,3.648,,,,,,,False,nexsci
248,HD 111591 b,,,,1.15,4.4,502.0,422.0,3.9160000000000004,1056.4,,,114.17,4884.0,3.1,False,nexsci
154,bet UMi b,,,,1.14,6.1,1238.0,1041.0,4.066,522.3,,-1.3,38.77,4126.0,1.5,False,nexsci
254,HD 11977 b,,,,1.13,6.54,652.0,548.0,4.104,711.0,,2.6,67.93,4970.0,2.9,False,nexsci
292,HD 132406 b,,,,1.14,5.38,273.0,229.0,4.011,974.0,,6.9,70.78,5783.0,4.2,False,nexsci
983,DMPP-1 c,,,,0.27,0.0302,1473.0,1239.0,3.002,6.584,,6.7,62.54,6196.0,4.41,False,nexsci
359,HD 164509 b,,,,1.28,0.44299999999999995,380.0,319.0,2.826,280.17,,6.6,53.11,5859.0,4.44,False,nexsci
977,DMPP-2 b,,,,1.28,0.43700000000000006,1930.0,1623.0,2.82,5.2072,,7.4,137.94,6500.0,4.1,False,nexsci
75,GJ 328 b,,,,1.19,2.3,85.0,71.0,3.605,4100.0,,6.4,20.53,3900.0,4.61,False,nexsci
1008,HD 216520 b,,,,0.28,0.03228,573.0,482.0,2.997,35.45,,5.4,19.55,5103.0,4.54,False,nexsci
940,OGLE-2018-BLG-0740L b,,,,1.15,4.8,,,3.9539999999999997,5480.0,,,3200.0,5912.0,4.5,False,nexsci
431,HD 207832 c,,,,1.25,0.73,214.0,180.0,3.0639999999999996,1155.7,,7.2,58.93,5710.0,4.48,False,nexsci
1110,b Cen AB b,,,,1.11,10.9,,,4.341,1790000.0,,4.5,98.09,,,False,nexsci
71,MOA-2011-BLG-028L b,,,,0.54,0.09,,,2.892,,,19.0,7380.0,,,False,nexsci
907,HD 126525 b,,,,0.92,0.237,236.0,199.0,2.842,960.41,,6.2,37.65,5638.0,4.38,False,nexsci
364,HD 165155 b,,,,1.18,2.89,285.0,240.0,3.7110000000000003,434.5,,7.6,63.36,5426.0,4.49,False,nexsci
1007,HD 110113 c,,,,0.29,0.03304,1241.0,1044.0,2.9939999999999998,6.744,,8.5,106.31,5732.0,4.46,False,nexsci
810,TYC 1422-614-1 c,,,,1.11,10.0,616.0,518.0,4.303999999999999,559.3,,7.7,672.41,4806.0,2.85,False,nexsci
704,Kepler-407 c,,,,1.1,12.6,,,4.412,3000.0,,10.9,338.37,5476.0,4.43,False,nexsci
760,LkCa 15 c,,,,,,71.0,60.0,,,,8.2,158.15,4194.0,3.65,False,nexsci
12,alf Ari b,,,,1.2,1.8,889.0,747.0,3.491,380.8,,-0.8,20.21,4553.0,2.49,False,nexsci
103,NY Vir b,,,,1.19,2.3,401.0,337.0,3.605,3160.0,,14.6,544.02,32780.0,5.74,False,nexsci
281,HD 128311 b,,,,1.2,1.7690000000000001,238.0,200.0,3.484,453.019,,5.1,16.33,4965.0,4.61,False,nexsci
